Test No., Merge Sort (ms), Hybrid Merge Sort (ms)
500, 0.161298, 0.050397
600, 0.160881, 0.04525
700, 0.184509, 0.050747
800, 0.210632, 0.060536
900, 0.252706, 0.062421
1000, 0.259475, 0.089832
1100, 0.293352, 0.104468
1200, 0.320368, 0.101231
1300, 0.571381, 0.122956
1400, 0.388686, 0.115543
1500, 0.410058, 0.123088
1600, 0.439248, 0.139098
1700, 0.467979, 0.134749
1800, 0.606275, 0.14091
1900, 0.51104, 0.15167
2000, 0.54368, 0.177832
2100, 0.568642, 0.204493
2200, 1.01962, 0.368516
2300, 1.0883, 0.409519
2400, 0.671601, 0.27701
2500, 0.687853, 0.227157
2600, 0.720995, 0.235833
2700, 0.819256, 0.324143
2800, 0.780813, 0.257991
2900, 0.804394, 0.266435
3000, 0.833874, 0.264447
3100, 0.865419, 0.276766
3200, 0.89036, 0.286853
3300, 0.92062, 0.290374
3400, 0.96171, 0.314875
3500, 1.62282, 0.567268
3600, 1.01083, 0.321333
3700, 1.03353, 0.3219
3800, 1.06281, 0.335226
3900, 1.09459, 0.353073
4000, 1.64946, 0.393544
4100, 1.78127, 0.726977
4200, 1.64145, 0.492538
4300, 1.23327, 0.800674
4400, 1.3285, 0.468299
4500, 1.28148, 0.469477
4600, 1.30468, 0.464737
4700, 1.4098, 0.479065
4800, 1.43038, 0.494601
4900, 1.42722, 0.9045
5000, 1.42987, 0.502763
5100, 1.4422, 0.509498
5200, 1.49353, 0.522011
5300, 1.51914, 0.529449
5400, 1.55024, 0.543436
5500, 2.67434, 0.597191
5600, 2.53681, 0.787401
5700, 1.63249, 0.558368
5800, 1.86678, 0.576505
5900, 1.68346, 0.57797
6000, 1.71338, 0.586452
6100, 1.80205, 0.886462
6200, 1.84991, 0.598047
6300, 1.82724, 0.609673
6400, 1.84203, 0.62797
6500, 1.87908, 0.635493
6600, 2.06694, 0.69715
6700, 1.95217, 0.641386
6800, 1.98743, 0.653705
6900, 1.97551, 0.657983
7000, 2.03447, 0.811621
7100, 2.0379, 0.675318
7200, 2.05406, 0.682061
7300, 2.10031, 0.702159
7400, 2.1788, 0.695113
7500, 2.16756, 0.723206
7600, 2.17504, 0.738246
7700, 2.20458, 0.735624
7800, 2.2265, 0.775441
7900, 2.45434, 0.810384
8000, 2.33295, 0.870237
8100, 2.42024, 0.993594
8200, 2.33326, 0.921164
8300, 2.39724, 0.984568
8400, 2.45653, 1.02515
8500, 2.76734, 1.08668
8600, 2.92131, 1.01481
8700, 3.23176, 0.973364
8800, 2.5642, 0.994398
8900, 2.57896, 0.987622
9000, 2.65824, 1.00231
9100, 2.64378, 1.00748
9200, 2.70482, 1.02089
9300, 2.83681, 1.02974
9400, 2.94977, 1.04041
9500, 2.99576, 1.05599
9600, 3.86921, 1.23083
9700, 3.75058, 1.07119
9800, 2.96591, 1.1067
9900, 2.94401, 1.07242
10000, 2.95435, 1.21171
